Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Здание музея Ермоловой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бульвар д.11,55.7598,37.599475
Здание Музея народного искусства,Дома и дворцы,None,None,None,None,None,None,None,None,None,Леонтьевский пер. д. 7,55.7586111,37.6013722
Здание музея-квартиры В.И. Немировича-Данченко,Дома и дворцы,None,None,None,None,None,None,None,None,None,Глинищевский пер. д.5/7,55.7635861,37.6106333
Здание музыкального театра им. Станиславского и Немировича-Данченко,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Дмитровка ул.+++ д. 17,55.76475,37.6106722
Здание налоговой службы,Современные здания,None,None,None,None,None,None,None,None,None,Большая Тульская ул. д.15,55.7086111,37.6236583
Здание народного училища для прихожан церкви Мартина Исповедника,Дома и дворцы,None,None,None,None,None,None,None,None,None,ул. Александра Солженицына+++ д. 20+++ стр. 1,55.7431889,37.6610333
Здание Нижегородско-Самарского Земельного банка,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бул.+++ д 12,55.759275,37.6008083
"Здание общества ""Детский труд и отдых""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Вадковский пер.д.5+++ стр.1,55.790775,37.5986861
Здание Оружейной палаты,Дома и дворцы,None,None,None,None,None,None,None,None,None,Московский Кремль,55.7496389,37.6136472
Здание Павелецкого вокзала,Железнодорожный вокзал,None,None,None,None,None,None,None,None,None,Павелецкая пл.+++ 1С2,55.7297667,37.639825
Здание Поликлиники № 1 Управления делами Президента РФ / Дом Танеева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Сивцев Вражек пер+++ д. 26/28,55.7473361,37.5908472
Здание Политехнического института кожевенной промышленности,Дома и дворцы,None,None,None,None,None,None,None,None,None,Садовническая ул.+++ д. 33+++ стр. 1,55.7454611,37.6374583
Здание Политехнического музея,Дома и дворцы,None,None,None,None,None,None,None,None,None,Новая пл.+++ 3/4,55.7580833,37.6287
Здание Политехнического общества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Харитоньевский пер+++ д. 4,55.7670333,37.6438778
Здание посольства Ватикана,Дома и дворцы,None,None,None,None,None,None,None,None,None,Вадковский пер. д.7/37,55.7908694,37.5994222
Здание Правления Курско-Киевской (Воронежской) железной дороги,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чистопрудный бул.+++ д. 6/Архангельский пер.+++ д. 19,55.7635722,37.6400194
Здание Преображенской психиатрической больницы,Дома и дворцы,None,None,None,None,None,None,None,None,None,Матросская тишина ул.+++ д.20,55.7924417,37.7005889
Здание приюта для детских трудовых артелей,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пречистенская наб.+++ д. 3,55.7357806,37.5992083
"Здание ресторана ""Славянский базар""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Никольская ул.+++ д. 17,55.7580833,37.6234667
Здание ресторана Прага,Дома и дворцы,None,None,None,None,None,None,None,None,None,Арбат ул.+++ д.2/1,55.7524194,37.5993194
Здание РЖД,Дома и дворцы,None,None,None,None,None,None,None,None,None,Новая Басманная ул.+++ д. 2/1,55.7688528,37.6511111
Здание Рижского вокзала,Железнодорожный вокзал,None,None,None,None,None,None,None,None,None,Рижская пл.+++ 3,55.79345,37.632525
Здание Российской Академии наук,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ленинский проспект+++ д. 32А,55.7107944,37.5778222
Здание Российской государственной библиотеки искусств,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Дмитровка ул.+++ д. 8/1,55.7608444,37.615375
Здание Савеловского вокзала,Железнодорожный вокзал,None,None,None,None,None,None,None,None,None,Пл. Савёловского Вокзала+++ д. 2,55.7942972,37.587975
Здание сандуновских бань,Дома и дворцы,None,None,None,None,None,None,None,None,None,Неглинная ул.+++ д. 14,55.7644833,37.6202028
Здание синематографа и театра миниатюр Солодовникова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пречистенская наб.+++ д. 1,55.7352583,37.5982
Здание Совета Федерации,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Дмитровка ул.+++ 26,55.7644028,37.6123583
Здание Союза архитекторов России,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гранатный пер. Д. 12,55.7600889,37.5881528
"Здание спортобщества ""Динамо""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Лубянка ул.+++ д. 12 / Фуркасовский пер.+++ д. 1,55.7618583,37.6283694
Здание Ссудной казны,Дома и дворцы,None,None,None,None,None,None,None,None,None,Настасьинский переулок+++ д. 3,55.7672806,37.6035972
Здание ТАСС,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бул.+++ д.2,55.7579028,37.5998111
"Здание театра ""У Никитских ворот""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Никитская ул.+++ д. 23/9,55.75725,37.5993611
Здание Театра зверей им. Дурова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ул. Дурова+++ д.2-4,55.77945,37.6209917
Здание театра Корша,Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровский пер.+++ д. 3,55.7658306,37.6128972
Здание театра МХТ им.Чехова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Камергерский пер.+++ д. 3,55.7600361,37.6131889
Здание Третьяковской галереи в Лаврушинском переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лаврушинский пер.+++ 10,55.741525,37.6200639
"Здание ТЦ ""Неглинная плаза""",Современные здания,None,None,None,None,None,None,None,None,None,Трубная пл. д.2,55.7666917,37.6220694
